type,value,context,confidence,source,notes
NOTE,NO-ATOMIC-IOCS-EXIST,unit42-sept-2026-ai-assisted-intrusion,n/a,unit42-2026-09-02,"No hashes, IP addresses, domains or file names were published for this incident. This file contains BEHAVIOURAL indicators and one named structural cause. Anyone offering you atomic IOCs for it is guessing."
NOTE,VANTAGE-MATTERS,scope,n/a,derived,"Roughly half of these are visible only if the agents executed inside your estate. That is the Unit 42 case. In the July 2026 Taiwan campaign the agents ran on the operator's infrastructure and a defender saw authentication activity and nothing else. Each row below states which vantage it needs."
behaviour,inference-endpoint-called-by-novel-principal,borrowed-inference,high,derived,"DEFENDER VANTAGE. A cloud identity invokes a managed model endpoint for the first time, at volume. Highest-value control in this pack because it is asked in the control plane and is therefore indifferent to provider, framework, model and network position."
behaviour,victim-owned-inference-repurposed,borrowed-inference,high,unit42-2026-09-02,"DEFENDER VANTAGE. Stolen cloud keys used to turn the victim's own AI endpoints into post-compromise infrastructure. Defeats every provider-egress rule, including the ones in the 2026-08-agentic-intrusion pack, because the destination is inside the victim tenancy and allowlisted by construction."
behaviour,inference-volume-step-change-per-principal,borrowed-inference,medium,derived,"DEFENDER VANTAGE. Order-of-magnitude increase in model invocations by an identity that already calls the endpoint legitimately. Catches what a first-seen baseline misses."
behaviour,secret-bulk-read-then-inference,privilege-to-abuse,medium,unit42-2026-09-02,"DEFENDER VANTAGE. Bulk secrets-manager read followed within the hour by model invocation, same principal. Either half alone is ordinary; the sequence is the transition from the privilege phase to the resource-abuse phase. Requires an allowlist of legitimate AI workload principals to be operable at all."
behaviour,structured-state-files-machine-cadence,coordination-substrate,medium,unit42-2026-09-02,"DEFENDER VANTAGE. Structured Markdown files passing information between agents and sessions, with paired asset folders and Python caches. Observed by Unit 42 and corroborated in shape by Dream's 1395-file Taiwan workspace. The signal is the CONJUNCTION of file type, machine cadence, non-interactive parent and non-developer host, never the file type alone."
behaviour,agent-workspace-dir-on-server,coordination-substrate,medium,derived,"DEFENDER VANTAGE. A framework workspace directory materialising on a host with no developer workflow. Hunting only: the frameworks are legitimate and widely installed, including in our own estate."
behaviour,parallel-sessions-divergent-actions,tempo,medium,unit42-2026-09-02,"EITHER VANTAGE. Multiple concurrent sessions on one credential performing DIFFERENT actions. Spray tools repeat one action widely; agent swarms divide the work. The divergence is the discriminator, not the speed."
behaviour,rapid-401-to-200-transition,tempo,low,unit42-2026-09-02,"EITHER VANTAGE. Named by Unit 42 as hunt guidance. On its own this is a credential-spray signal existing detections already carry. Ranked low deliberately: it is only useful joined to the parallelism row above."
behaviour,attack-compression-ratio,tempo,low,unit42-2026-09-02,"50+ ATT&CK techniques in under 10 hours against an estimated two weeks of human effort. Not directly detectable; useful for scoping a retrospective hunt window and for arguing response-time budgets."
technique,ai-generated-tooling-style,attribution-of-tooling,low,unit42-2026-09-02,"Unit 42 ASSESSED with high confidence that custom scripts were AI-generated, from their UI elements. Stylistic tells are the least durable signal here: free to remove, already being removed, and false positives land on your own developers. Recorded because it appears in the source, ranked last because it should be."
artefact,attacker-left-technical-audit,operator-error,info,unit42-2026-09-02,"An 80-page technical audit of the victim's security findings was left behind. Like Dream's exposed 160 MB archive, this is operator untidiness rather than a control. Do not build a programme on the assumption that the next operator is as careless."
concept,borrowed-inference,structural-cause,n/a,derived,"An attacker who compromises an estate operating AI workloads inherits its inference capability along with its data and compute, and that inference is indistinguishable from the estate's own by every network-layer control the estate owns. Generalises to any metered capability exposed internally: transcription, translation, OCR, render farms."
concept,coordination-substrate,structural-cause,n/a,derived,"Multi-agent intrusion must externalise shared state, because sub-agents do not share a context window and separate processes only communicate across a session boundary through storage. The operator can change model, provider, framework and infrastructure for free and still has to put the state somewhere. Observed in both published corpora; the only overlap between them."
prerequisite,model-invocation-logging,instrumentation,n/a,derived,"Azure OpenAI diagnostic logs, Bedrock model invocation logging and Vertex AI audit logs are off or partial by default in most tenancies, and are often retained for days. Without them borrowed inference is invisible and the Tier 1 control in this pack is uninstrumentable. This is the single most consequential prerequisite here."
mitre,T1496,impact,n/a,mapping,"Resource hijacking (inferred). Victim inference capacity consumed by the intruder."
mitre,T1078.004,defense-evasion,n/a,mapping,"Valid accounts: cloud accounts (inferred). Stolen cloud keys used against the victim's own services."
mitre,T1555.006,credential-access,n/a,mapping,"Credentials from password stores: cloud secrets management (inferred)."
mitre,T1552.001,credential-access,n/a,mapping,"Unsecured credentials in files (inferred). Hardcoded tokens and passwords harvested from code repositories."
mitre,T1074.001,collection,n/a,mapping,"Local data staging (inferred). The coordination substrate is staged state, incidentally."
mitre,T1195.002,initial-access,n/a,mapping,"Supply chain compromise of software (inferred). Attempted Terraform backdoor in CI/CD, blocked by branch protection."
atlas,AML.T0051,bypass,n/a,mapping,"LLM prompt injection, broad sense (inferred). No bypass was described for this incident; carried for class continuity with the August pack."
