type,value,context,confidence,source,notes
NOTE,ATOMIC-IOCS-EXIST-BUT-ARE-NEARLY-USELESS,closedquorum-2026-09-22,n/a,talos-2026-09-22,"Unlike the Taiwan campaign in indicators.csv, this family DOES have published hashes. They are still nearly useless: Talos states there is no confirmed in-the-wild deployment, and the six samples are development builds from a seven-day window. A clean hash sweep is not coverage. The behavioural rows below are the coverage."
hash.sha256,250d4fa37488af9b025333fa17705573d721467b203765bc360890b4f5a90cd7,development-build,high,talos-2026-09-22,"One of six builds across seven days of development."
hash.sha256,c4dc171f2513fcaf9d5ecc815a94aee4063b213ab380f80bd3ac422dee5205a7,development-build,high,talos-2026-09-22,"One of six builds across seven days of development."
hash.sha256,c13cea04f598e2b0c248d603a6e31bd13aabb64d8149c1b6a77b64e0b983a86f,development-build,high,talos-2026-09-22,"One of six builds across seven days of development."
hash.sha256,f5f1f8c3e7b883793800ab6ccf21b3e60bd0730f300b4595fe74a33adc17a63c,development-build,high,talos-2026-09-22,"One of six builds across seven days of development."
hash.sha256,5191cf625dfc209a347f137b50aea199e82040fd5ee9086fb3e2de73c133f3cb,development-build,high,talos-2026-09-22,"One of six builds across seven days of development."
hash.sha256,eddbd0ecf7195d38fefae5b9d393abfa79e6f3f94bde19308ecef130a05a42e5,development-build,high,talos-2026-09-22,"One of six builds across seven days of development."
endpoint,api.deepseek.com,c2,info,talos-2026-09-22,"DO NOT BLOCK ON THIS. It is a legitimate provider endpoint used by ordinary software. It is listed so you can COUNT it, not so you can deny it. The detection is the count of distinct providers per process, not the presence of any one of them."
endpoint,openrouter.ai,c2,info,talos-2026-09-22,"Same caveat. OpenRouter is itself a multi-provider router, which is exactly the software class that generates false positives for the quorum rule. Its presence in the implant is convenient for the attacker for the same reason."
endpoint,api.mistral.ai,c2,info,talos-2026-09-22,"Same caveat as api.deepseek.com."
behaviour,multi-provider-quorum,c2,high,derived,"One process contacting two or more DISTINCT LLM providers inside a short window. The core detection in this pack. Arises because the implant votes across four models, which it does because no single model is reliable enough to trust alone."
behaviour,quorum-plus-credential-access,c2,high,derived,"The quorum joined to LSASS access, remote thread creation or WMI persistence by the same process. The alert-worthy version. An LLM gateway does not read LSASS."
behaviour,randomised-5-15-minute-execution,c2,medium,talos-2026-09-22,"Execution at randomised 5 to 15 minute intervals. Jitter across that range is genuinely harder to see than a fixed beacon, and legitimate polling software lives in the same range. Use to narrow a candidate, never as a standalone hunt."
behaviour,discord-webhook-egress,exfiltration,medium,talos-2026-09-22,"Credential exfiltration to Discord webhooks. Commodity channel, not specific to this family, which makes the rule more useful rather than less."
artefact,aes-256-gcm-date-derived-key,exfiltration,high,talos-2026-09-22,"Exfiltration encrypted with a key derived from the current date. FORENSIC OPPORTUNITY: captured ciphertext is very likely recoverable if the send date is known. Preserve historical capture before remediating."
artefact,embedded-system-prompt,cognitive,high,talos-2026-09-22,"'You are an advanced malware strategist. Provide ONLY executable decisions.' A cognitive artifact in the CAIRN sense. Static narration compiled into a binary: it cannot notice the analyst and it cannot argue, which is exactly why it is usable as evidence."
artefact,interModelDiscussion,cognitive,high,talos-2026-09-22,"Function name implementing the plurality vote. Talos: 'Each provider's Decision field value increments a map[string]int counter, and the highest-count decision wins.'"
artefact,typed-decision-schema,cognitive,high,talos-2026-09-22,"Model responses constrained to four capabilities: steal, inject, persist, move. The schema enumerates the post-decision host behaviour to hunt for."
artefact,go-binary-16.4mb-windows,staging,low,talos-2026-09-22,"16.4 MB Go executable. Too generic to alert on; useful only for narrowing a known window."
attribution,carding-forum-postings-2025,attribution,low,talos-2026-09-22,"Developer artifacts connect the author to criminal forum postings related to carding, dating to 2025. No named-group attribution was made."
archetype,CAIRN-A4-LLM-Tasked-C2,taxonomy,n/a,talos-2026-09-22,"Classified A4 in the CAIRN archetype taxonomy (A0 to A11). See https://github.com/Cisco-Talos/Cognitive-Artifact-Intelligence-Research-Network"
mitre,T1102,command-and-control,n/a,mapping,"Web service. The implant uses commercial LLM APIs as its C2 channel rather than dedicated infrastructure."
mitre,T1071.001,command-and-control,n/a,mapping,"Application layer protocol: web protocols."
mitre,T1003.001,credential-access,n/a,mapping,"OS credential dumping: LSASS memory."
mitre,T1055,defense-evasion,n/a,mapping,"Process injection. Talos describes injection into suspended processes."
mitre,T1546.003,persistence,n/a,mapping,"Event triggered execution: WMI event subscription."
mitre,T1567,exfiltration,n/a,mapping,"Exfiltration over web service. Discord webhooks."
LIMIT,NO-CONFIRMED-ITW-DEPLOYMENT,scope,n/a,talos-2026-09-22,"Talos: 'While we do not have confirmation of in-the-wild deployment.' The distribution binary carries placeholder credentials (dummy_api_key, dummy_webhook_url) and no complete end-to-end execution was observed. This is a working capability of unproven deployment. Say so to your stakeholders."
LIMIT,QUORUM-DETECTION-DECAYS,scope,n/a,derived,"The quorum exists to compensate for single-model unreliability. As models improve, or move on-host, the fan-out collapses and every rule in this pack that counts providers stops working. Deploy now, distrust later."
