campaign,type,indicator,context,source
A-BoryptGrab,sha256,1c854a6aa415f4be964e8a4be49c06e092156bf66d71f9c79995b3e6b156e778,Delivery archive Arctic-Wolf-6.86.5.zip (~136 MB padded),Arctic Wolf
A-BoryptGrab,sha256,6db05c4473760c44fa572ffac4c5911b35caf2467a37726c21c5f87e25cb2ea8,Trojanized libcurl.dll loader sample A (PE64 compiled 2026-06-29),Arctic Wolf
A-BoryptGrab,sha256,fd01262bd56510088b9ddfe58ca101abb98575f3c0259b480a31b917aa73bc56,Trojanized libcurl.dll loader sample B,Arctic Wolf
A-BoryptGrab,sha256,07dcc12197490bf3292619273ba8b11a960273a34265bca3b7d6d40e8c47dc82,Decrypted in-memory implant,Arctic Wolf
A-BoryptGrab,sha256,8e1ea6d9a8ccb303be9a2aad3524a529d0d99b1b24a136d8422276e942c4c4b8,Nested in-memory final stealer PE,Arctic Wolf
A-BoryptGrab,sha256,e9a56961980031a45e578472836576da874512bff50ca3d491fc72e52f7cc7c2,GrabPure_Dump.bin process-memory extraction,Arctic Wolf
A-BoryptGrab,sha256,52825dbf3fc28b9f7c3a24adf78d3425ac714e975769f4d70e8c718ddcbb9856,Reference BoryptGrab sample (Trend Micro March 2026),Arctic Wolf
A-BoryptGrab,sha1,E40197487A7F8D88F440EB77F73BACEF4F054DC8,BinDiff identifier for this campaign stealer,Arctic Wolf
A-BoryptGrab,ip,193.143.1.131,Hardcoded C2 POST /upload over plaintext HTTP (Proton66 AS198953),Arctic Wolf
A-BoryptGrab,cidr,193.143.1.0/24,Proton66 netblock; prior BoryptGrab C2 at .104,Arctic Wolf
A-BoryptGrab,ip,45.93.20.61,Reference-sample C2 port 5466,Arctic Wolf
A-BoryptGrab,ip,2.27.5.63,Non-Cloudflare distribution host sharing the Github Download page title,Arctic Wolf
A-BoryptGrab,ip,77.91.96.188,Non-Cloudflare distribution host,Arctic Wolf
A-BoryptGrab,ip,185.100.157.222,Non-Cloudflare distribution host,Arctic Wolf
A-BoryptGrab,ip,193.221.201.165,Non-Cloudflare distribution host,Arctic Wolf
A-BoryptGrab,ip,217.145.226.0,Non-Cloudflare distribution host,Arctic Wolf
A-BoryptGrab,ip,217.145.227.254,Non-Cloudflare distribution host,Arctic Wolf
