type,value,context,confidence,source,notes
NOTE,NO-ATOMIC-IOCS-EXIST,july-2026-taiwan-campaign,n/a,dream-via-ft-2026-08-12,"No hashes, IPs, domains or filenames were published for this campaign. This file therefore contains BEHAVIOURAL indicators only. Anyone offering you atomic IOCs for this incident is guessing."
behaviour,concurrent-agents-single-origin,execution,high,dream-via-ft-2026-08-12,"Up to eight agents ran simultaneously, each working a different angle. Distinguishable from a threaded scanner because the parallel streams perform DIFFERENT actions, not the same action in parallel."
behaviour,burst-then-inference-pause,tempo,high,derived,"Machine-speed action bursts separated by 2-30s pauses matching LLM inference latency. Neither humans (slow, irregular) nor scripts (fast, uniform) produce this."
behaviour,technique-change-after-failure,tempo,high,dream-via-ft-2026-08-12,"Tool continuously ranked and reprioritised attack paths on new evidence; on failure it searched the internet and devised a new approach. Scripts do not adapt; humans adapt slowly."
behaviour,breadth-with-adaptation,scope,medium,dream-via-ft-2026-08-12,"21 government systems mapped in four days WITH technique variation between them. Scanners are broad and uniform; humans are narrow and adaptive; agents are both."
behaviour,inference-egress-from-server,network,high,derived,"Any non-workstation host resolving or connecting to a public model provider. Structural consequence of the technique, not an operator choice. Defeated by self-hosted inference."
behaviour,inference-traffic-correlated-with-auth,network,high,derived,"Model API calls interleaved minute-by-minute with authentication activity from the same host. Highest-confidence single finding available."
technique,asserted-authorization-in-prompt,bypass,high,dream-via-ft-2026-08-12,"Operators framed the campaign as an authorized penetration test, which the model had no reliable way to verify or reject. Observable ONLY at a gateway you operate."
tool,hermes-agent,framework,medium,dream-via-ft-2026-08-12,"NousResearch/hermes-agent. Legitimate, widely used open-source agent framework. Presence indicates agent capability, NOT compromise. Saluca runs a fork; allowlist internally."
tool,openclaw,framework,medium,dream-via-ft-2026-08-12,"Open-source agent framework. Same caveat as Hermes: legitimate software, presence is an exposure signal only."
artefact,1395-files-160mb-archive,staging,low,dream-via-ft-2026-08-12,"Reported toolkit size. Too generic to alert on alone; useful only for narrowing a known window during retrospective hunting."
target,nuclear-safety-regulator,victimology,info,dream-via-ft-2026-08-12,"Taiwan nuclear safety agency targeted after initial government access."
target,energy-sector,victimology,info,dream-via-ft-2026-08-12,"At least seven energy companies targeted in the expansion phase."
attribution,simplified-chinese-internal-comms,attribution,low,dream-via-ft-2026-08-12,"Simplified Chinese appeared in the tool's internal communications. Dream made NO named-group attribution. Treat as weak signal only; language artefacts are trivially forged."
mitre,T1071.001,command-and-control,n/a,mapping,"Application layer protocol: web protocols. Inference API traffic."
mitre,T1078,defense-evasion,n/a,mapping,"Valid accounts. 85+ compromised accounts used for subsequent access."
mitre,T1110,credential-access,n/a,mapping,"Brute force. Credential attacks during the access phase."
mitre,T1087,discovery,n/a,mapping,"Account discovery."
mitre,T1046,discovery,n/a,mapping,"Network service discovery. 21 systems mapped."
mitre,T1567.002,exfiltration,n/a,mapping,"Exfiltration to cloud storage or web service. 2500+ personnel records."
atlas,AML.T0054,bypass,n/a,mapping,"LLM jailbreak. The asserted-authorization framing."
atlas,AML.T0051,bypass,n/a,mapping,"LLM prompt injection, broad sense: instructions the model could not validate."
